연도,선수명,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
1986,계형철,OB,3.16,22,3,1,5,7,0,0,0.417,452,111,94,8,50,2,47,48,39
1986,김기태,청보,3.18,42,6,1,9,14,5,0,0.391,746,175.3333333333,158,12,66,17,109,73,62
1986,김신부,청보,3.21,40,10,3,10,10,0,0,0.5,965,233,220,12,57,21,89,93,83
1986,손문곤,빙그레,3.38,28,3,1,2,5,0,0,0.286,495,117,118,6,47,3,36,51,44
1986,최계훈,청보,3.67,32,7,1,6,14,2,0,0.3,688,159.3333333333,164,12,67,5,62,79,65
1986,장명부,빙그레,4.98,22,3,0,1,18,0,0,0.053,493,108.3333333333,130,12,41,9,48,71,60
1987,선동열,해태,0.89,31,7,4,14,2,6,0,0.875,604,162,89,2,47,3,144,21,16
1987,김용수,MBC,1.98,52,0,0,9,5,24,0,0.643,560,141,112,6,36,4,71,34,31
1987,문희수,해태,2.14,22,4,1,7,7,2,0,0.5,429,109.3333333333,89,5,27,4,37,34,26
1987,한희민,빙그레,2.36,30,14,3,13,8,4,0,0.619,798,206,156,7,44,4,116,64,54
1987,이상군,빙그레,2.55,33,24,3,18,11,2,0,0.621,1006,246.6666666666,233,13,52,10,85,83,70
1987,최일언,OB,2.56,24,9,2,14,8,1,0,0.636,639,154.6666666666,129,4,70,6,70,52,44
1987,윤학길,롯데,2.57,31,13,2,13,10,1,0,0.565,815,200,191,4,62,3,84,66,57
1987,김진욱,OB,2.57,32,7,2,4,7,6,0,0.364,601,150.3333333333,120,3,58,3,82,49,43
1987,계형철,OB,2.61,25,5,0,8,12,0,0,0.4,633,148.3333333333,122,3,74,6,53,59,43
1987,김건우,MBC,2.64,26,6,1,12,7,0,0,0.632,686,163.3333333333,170,5,51,3,56,54,48
1987,김대현,해태,2.78,31,3,0,9,5,3,0,0.643,580,142.3333333333,121,12,53,4,51,48,44
1987,진동한,삼성,2.81,28,2,0,12,6,2,0,0.667,596,144,144,8,49,7,34,56,45
1987,최동원,롯데,2.81,32,15,4,14,12,2,0,0.538,920,224,218,6,61,7,163,80,70
1987,장호연,OB,2.82,32,13,2,15,8,6,0,0.652,784,188.3333333333,170,1,74,10,73,67,59
1987,정삼흠,MBC,2.86,33,8,3,6,13,2,0,0.316,804,195.3333333333,171,10,73,7,85,68,62
1987,신동수,해태,3.03,31,2,1,5,4,0,0,0.556,524,127.6666666666,112,10,53,3,67,48,43
1987,양상문,청보,3.1,36,13,3,12,13,0,0,0.48,863,209.3333333333,188,18,66,5,84,87,72
1987,김시진,삼성,3.12,33,7,3,23,6,0,0,0.793,818,193.3333333333,166,9,96,7,113,73,67
1987,차동철,해태,3.16,35,7,2,9,11,0,0,0.45,653,159.6666666666,157,8,39,5,49,65,56
1987,성준,삼성,3.55,21,4,2,4,7,1,0,0.364,459,109,111,11,47,1,32,44,43
1987,임호균,청보,3.78,27,11,1,9,10,0,0,0.474,748,173.6666666666,185,8,80,6,38,80,73
1987,김신부,청보,4.04,27,4,1,6,11,1,0,0.353,500,113.6666666666,132,4,32,13,33,54,51
1987,박동수,롯데,4.24,32,8,1,9,8,3,0,0.529,601,140,165,10,27,13,71,72,66
1987,오영일,MBC,4.27,30,2,0,9,8,0,0,0.529,621,143.3333333333,155,10,51,7,41,75,68
1987,김봉근,청보,4.87,27,5,0,4,11,2,0,0.267,590,135,163,12,37,4,41,82,73
1988,선동열,해태,1.21,31,9,1,16,5,10,0,0.762,674,178.3333333333,116,3,35,7,200,29,24
1988,윤석환,OB,2.08,40,0,0,13,3,14,0,0.813,439,108,96,6,38,2,53,28,25
1988,최일언,OB,2.18,20,2,0,6,4,0,0,0.6,485,115.6666666666,100,0,48,5,50,33,28
1988,이상군,빙그레,2.4,38,3,1,10,3,16,0,0.769,530,135,120,7,22,3,47,38,36
1988,김훈기,삼성,2.75,27,6,3,10,5,3,0,0.667,472,118,102,8,23,3,50,44,36
1988,김성길,삼성,2.8,38,2,1,8,4,6,0,0.667,615,151.3333333333,150,10,31,5,62,51,47
1988,이용철,MBC,2.81,29,6,0,7,11,0,0,0.389,610,144.3333333333,138,5,55,7,46,63,45
1988,이상윤,해태,2.89,30,3,1,16,6,0,0,0.727,575,137,98,3,75,4,55,56,44
1988,문희수,해태,3.02,26,4,1,8,7,3,0,0.533,458,110.3333333333,101,9,33,1,55,45,37
1988,김진욱,OB,3.1,29,5,2,11,8,2,0,0.579,559,139.3333333333,116,6,45,8,73,52,48
1988,한희민,빙그레,3.11,31,10,4,16,5,5,0,0.762,782,188,188,16,55,7,103,72,65
1988,윤학길,롯데,3.15,35,17,3,18,10,3,0,0.643,967,234,241,9,53,5,123,89,82
1988,성준,삼성,3.33,31,4,2,11,8,2,0,0.579,668,159.6666666666,135,17,74,3,59,67,59
1988,차동철,해태,3.34,32,5,3,10,6,1,0,0.625,607,145.6666666666,156,11,21,10,45,68,54
1988,오영일,MBC,3.48,28,8,0,7,11,2,0,0.389,760,176,208,9,50,5,64,83,68
1988,김시진,삼성,3.49,25,5,1,11,9,0,0,0.55,602,144.3333333333,107,10,70,7,67,62,56
1988,이길환,MBC,3.53,24,3,1,10,4,0,0,0.714,517,122.3333333333,131,11,32,5,28,61,48
1988,박동수,롯데,3.62,31,0,0,7,8,2,0,0.467,490,114.3333333333,131,6,27,7,59,59,46
1988,계형철,OB,3.75,33,2,0,10,12,2,0,0.455,558,129.6666666666,121,7,62,2,48,59,54
1988,한오종,OB,3.81,26,2,1,4,4,0,0,0.5,496,115.6666666666,108,9,57,3,60,54,49
1988,양상문,태평양,3.83,38,8,1,9,12,3,0,0.429,722,169.3333333333,185,12,54,2,68,89,72
1988,김대중,빙그레,3.86,23,4,1,7,7,1,0,0.5,508,119,131,9,34,13,36,54,51
1988,김신부,태평양,3.87,29,2,1,9,8,1,0,0.529,526,123.3333333333,126,8,29,16,38,63,53
1988,조병천,태평양,3.94,28,4,0,2,10,1,0,0.167,546,128,134,6,44,1,40,59,56
1988,장호연,OB,3.95,36,3,1,8,12,1,0,0.4,629,146,163,12,44,6,46,76,64
1988,신완근,태평양,3.95,37,1,0,2,9,3,0,0.182,585,139,141,8,44,3,73,71,61
1988,김용남,빙그레,4.11,27,1,0,8,6,1,0,0.571,525,122.6666666666,150,9,25,2,41,67,56
1988,유종겸,MBC,4.13,23,6,1,4,7,1,0,0.364,484,109,102,7,65,3,45,58,50
1988,김홍명,빙그레,4.27,24,7,1,8,13,0,0,0.381,656,151.6666666666,158,8,72,4,61,75,72
1988,김대현,해태,4.54,31,3,0,7,6,2,0,0.538,585,136.6666666666,136,15,44,8,47,72,69
1988,정삼흠,MBC,5.67,27,6,1,5,16,0,0,0.238,634,139.6666666666,163,20,61,14,43,96,88
