연도,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,TBF
2016,양현종,KIA,3.68,31,10,12,0,0,0.455,200.3333333333,191,19,77,2,146,96,82,1.34,850
2016,보우덴,두산,3.8,30,18,7,0,0,0.72,180,159,17,54,6,160,83,76,1.18,742
2016,신재영,넥센,3.9,30,15,7,0,0,0.682,168.6666666666,192,19,21,11,99,76,73,1.26,718
2016,류제국,LG,4.3,29,13,11,0,0,0.542,161.3333333333,152,14,70,21,138,83,77,1.38,701
2016,레일리,롯데,4.34,31,8,10,0,0,0.444,184.6666666666,207,21,51,17,147,105,89,1.4,808
2016,윤성환,삼성,4.35,28,11,10,0,0,0.524,180,202,25,41,13,85,95,87,1.35,767
2016,유희관,두산,4.41,30,15,6,0,0,0.714,185.6666666666,212,22,58,6,102,95,91,1.45,809
2016,피어밴드,KT,4.45,31,7,13,0,0,0.35,182,231,23,48,10,144,97,90,1.53,803
2016,스튜어트,NC,4.56,27,12,8,0,0,0.6,150,160,11,55,8,118,79,76,1.43,653
2016,차우찬,삼성,4.73,24,12,6,0,0,0.667,152.3333333333,168,16,65,8,120,87,80,1.53,671
2016,소사,LG,5.16,33,10,9,0,0,0.526,199,258,12,38,9,107,121,114,1.49,870
2016,지크,KIA,5.27,30,10,13,0,0,0.435,152,188,16,68,5,125,104,89,1.68,705
2016,린드블럼,롯데,5.28,30,10,13,0,0,0.435,177.3333333333,197,28,77,9,148,109,104,1.55,791
2017,피어밴드,KT,3.04,26,8,10,0,0,0.444,160,153,20,31,7,132,67,54,1.15,657
2017,장원준,두산,3.14,29,14,9,0,0,0.609,180.3333333333,172,12,51,14,125,70,63,1.24,760
2017,해커,NC,3.42,26,12,7,0,0,0.632,160.3333333333,159,14,29,14,97,64,61,1.17,672
2017,차우찬,LG,3.43,28,10,7,0,0,0.588,175.6666666666,171,20,38,7,157,75,67,1.19,732
2017,양현종,KIA,3.44,31,20,6,0,0,0.769,193.3333333333,209,17,45,0,158,88,74,1.31,808
2017,헥터,KIA,3.48,30,20,5,0,0,0.8,201.6666666666,221,21,45,5,149,83,78,1.32,854
2017,켈리,SK,3.6,30,16,7,0,0,0.696,190,204,16,45,11,189,85,76,1.31,815
2017,박세웅,롯데,3.68,28,12,6,0,0,0.667,171.3333333333,170,21,56,9,117,74,70,1.32,725
2017,레일리,롯데,3.8,30,13,7,0,0,0.65,187.3333333333,199,19,44,17,156,87,79,1.3,798
2017,소사,LG,3.88,30,11,11,1,0,0.5,185.3333333333,189,11,38,3,153,86,80,1.22,769
2017,니퍼트,두산,4.06,30,14,8,0,0,0.636,179.6666666666,175,20,77,10,161,88,81,1.4,782
2017,박종훈,SK,4.1,29,12,7,0,1,0.632,151.3333333333,145,16,61,25,107,74,69,1.36,664
2017,팻딘,KIA,4.14,30,9,7,0,0,0.563,176,211,22,39,16,143,86,81,1.42,770
2017,윤성환,삼성,4.28,28,12,9,0,0,0.571,174.3333333333,181,22,37,15,130,86,83,1.25,731
2017,브리검,넥센,4.38,24,10,6,0,0,0.625,144,166,17,26,13,98,77,70,1.33,619
